Date,Dividends
1988-02-23 00:00:00-05:00,0.025
1988-05-24 00:00:00-04:00,0.025
1988-08-25 00:00:00-04:00,0.025
1988-11-23 00:00:00-05:00,0.025
1988-12-09 00:00:00-05:00,0.055
1989-02-22 00:00:00-05:00,0.025
1989-05-24 00:00:00-04:00,0.025
1989-08-25 00:00:00-04:00,0.025
1989-11-24 00:00:00-05:00,0.025
1990-02-22 00:00:00-05:00,0.03
1990-05-24 00:00:00-04:00,0.03
1990-08-27 00:00:00-04:00,0.03
1990-11-26 00:00:00-05:00,0.03
1991-02-22 00:00:00-05:00,0.03
1991-05-24 00:00:00-04:00,0.03
1991-08-26 00:00:00-04:00,0.03
1991-11-22 00:00:00-05:00,0.0325
1992-02-24 00:00:00-05:00,0.035
1992-05-26 00:00:00-04:00,0.035
1992-08-25 00:00:00-04:00,0.035
1992-11-23 00:00:00-05:00,0.035
1993-02-23 00:00:00-05:00,0.035
1993-05-24 00:00:00-04:00,0.035
1993-08-25 00:00:00-04:00,0.035
1993-11-23 00:00:00-05:00,0.035
1994-02-22 00:00:00-05:00,0.035
1994-05-24 00:00:00-04:00,0.035
1994-08-23 00:00:00-04:00,0.035
1994-11-23 00:00:00-05:00,0.0375
1995-02-22 00:00:00-05:00,0.0375
1995-05-24 00:00:00-04:00,0.0375
1995-08-29 00:00:00-04:00,0.0375
1995-11-28 00:00:00-05:00,0.045
1996-02-27 00:00:00-05:00,0.045
1996-05-29 00:00:00-04:00,0.045
1996-08-28 00:00:00-04:00,0.045
1996-11-25 00:00:00-05:00,0.055
1997-02-26 00:00:00-05:00,0.055
1997-05-28 00:00:00-04:00,0.055
1997-08-27 00:00:00-04:00,0.055
1997-11-25 00:00:00-05:00,0.075
1998-02-11 00:00:00-05:00,0.075
1998-05-27 00:00:00-04:00,0.075
1998-08-27 00:00:00-04:00,0.075
1998-11-25 00:00:00-05:00,0.09
1999-02-18 00:00:00-05:00,0.09
1999-05-26 00:00:00-04:00,0.09
1999-08-27 00:00:00-04:00,0.09
1999-11-26 00:00:00-05:00,0.105
2000-02-24 00:00:00-05:00,0.105
2000-05-26 00:00:00-04:00,0.105
2000-08-29 00:00:00-04:00,0.105
2000-11-28 00:00:00-05:00,0.105
2001-02-26 00:00:00-05:00,0.105
2001-05-29 00:00:00-04:00,0.105
2001-08-29 00:00:00-04:00,0.105
2001-11-28 00:00:00-05:00,0.105
2002-02-26 00:00:00-05:00,0.105
2002-05-29 00:00:00-04:00,0.105
2002-08-28 00:00:00-04:00,0.105
2002-11-26 00:00:00-05:00,0.105
2003-02-26 00:00:00-05:00,0.105
2003-05-21 00:00:00-04:00,0.105
2003-08-20 00:00:00-04:00,0.105
2003-11-19 00:00:00-05:00,0.125
2004-02-18 00:00:00-05:00,0.125
2004-05-19 00:00:00-04:00,0.125
2004-08-18 00:00:00-04:00,0.125
2004-11-17 00:00:00-05:00,0.15
2005-02-16 00:00:00-05:00,0.15
2005-05-18 00:00:00-04:00,0.2
2005-08-17 00:00:00-04:00,0.2
2005-11-16 00:00:00-05:00,0.25
2006-02-15 00:00:00-05:00,0.25
2006-05-17 00:00:00-04:00,0.25
2006-08-16 00:00:00-04:00,0.25
2006-11-15 00:00:00-05:00,0.275
2007-02-14 00:00:00-05:00,0.275
2007-05-16 00:00:00-04:00,0.35
2007-08-22 00:00:00-04:00,0.35
2007-11-20 00:00:00-05:00,0.4
2008-02-20 00:00:00-05:00,0.4
2008-05-21 00:00:00-04:00,0.4
2008-08-20 00:00:00-04:00,0.4
2008-11-19 00:00:00-05:00,0.4
2010-02-17 00:00:00-05:00,0.1
2010-05-19 00:00:00-04:00,0.1
2010-08-18 00:00:00-04:00,0.1
2010-11-17 00:00:00-05:00,0.1
2011-02-16 00:00:00-05:00,0.25
2011-05-18 00:00:00-04:00,0.25
2011-08-24 00:00:00-04:00,0.25
2011-11-22 00:00:00-05:00,0.25
2012-02-22 00:00:00-05:00,0.25
2012-05-23 00:00:00-04:00,0.25
2012-08-22 00:00:00-04:00,0.25
2012-11-20 00:00:00-05:00,0.25
2012-12-05 00:00:00-05:00,0.5
2013-02-20 00:00:00-05:00,0.25
2013-05-22 00:00:00-04:00,0.25
2013-08-21 00:00:00-04:00,0.25
2013-11-20 00:00:00-05:00,0.25
2014-02-19 00:00:00-05:00,0.25
2014-05-21 00:00:00-04:00,0.25
2014-08-20 00:00:00-04:00,0.25
2014-11-19 00:00:00-05:00,0.25
2015-02-18 00:00:00-05:00,0.25
2015-05-20 00:00:00-04:00,0.25
2015-08-19 00:00:00-04:00,0.3
2015-11-18 00:00:00-05:00,0.3
2016-02-17 00:00:00-05:00,0.3
2016-05-25 00:00:00-04:00,0.35
2016-08-24 00:00:00-04:00,0.35
2016-11-22 00:00:00-05:00,0.35
2017-02-22 00:00:00-05:00,0.35
2017-05-24 00:00:00-04:00,0.4
2017-08-23 00:00:00-04:00,0.4
2017-11-22 00:00:00-05:00,0.45
2018-02-22 00:00:00-05:00,0.45
2018-05-24 00:00:00-04:00,0.5
2018-08-23 00:00:00-04:00,0.5
2018-11-21 00:00:00-05:00,0.5
2019-02-21 00:00:00-05:00,0.5
2019-05-23 00:00:00-04:00,0.5
2019-08-22 00:00:00-04:00,0.5
2019-11-21 00:00:00-05:00,0.5
2020-02-20 00:00:00-05:00,0.5
